id,code,abbr_ko,title_ko,abbr_en,title_en
0,"Gen","창","창세기","Gen","Genesis"
1,"Exod","출","출애굽기","Exod","Exodus"
2,"Lev","레","레위기","Lev","Leviticus"
3,"Num","민","민수기","Num","Numbers"
4,"Deut","신","신명기","Deut","Deuteronomy"
5,"Josh","수","여호수아","Josh","Joshua"
6,"Judg","삿","사사기","Judg","Judges"
7,"Ruth","룻","룻기","Ruth","Ruth"
8,"1Sam","삼상","사무엘상","1Sam","1 Samuel"
9,"2Sam","삼하","사무엘하","2Sam","2 Samuel"
10,"1Kgs","왕상","열왕기상","1Kgs","1 Kings"
11,"2Kgs","왕하","열왕기하","2Kgs","2 Kings"
12,"1Chr","대상","역대상","1Chr","1 Chronicles"
13,"2Chr","대하","역대하","2Chr","2 Chronicles"
14,"Ezra","스","에스라","Ezra","Ezra"
15,"Neh","느","느헤미야","Neh","Nehemiah"
16,"Esth","에","에스더","Esth","Esther"
17,"Job","욥","욥기","Job","Job"
18,"Ps","시","시편","Ps","Psalms"
19,"Prov","잠","잠언","Prov","Proverbs"
20,"Eccl","전","전도서","Eccl","Ecclesiastes"
21,"Song","아","아가","Song","Song of Songs"
22,"Isa","사","이사야","Isa","Isaiah"
23,"Jer","렘","예레미야","Jer","Jeremiah"
24,"Lam","애","예레미야애가","Lam","Lamentations"
25,"Ezek","겔","에스겔","Ezek","Ezekiel"
26,"Dan","단","다니엘","Dan","Daniel"
27,"Hos","호","호세아","Hos","Hosea"
28,"Joel","욜","요엘","Joel","Joel"
29,"Amos","암","아모스","Amos","Amos"
30,"Obad","옵","오바댜","Obad","Obadiah"
31,"Jnah","욘","요나","Jnah","Jonah"
32,"Mic","미","미가","Mic","Micah"
33,"Nah","나","나훔","Nah","Nahum"
34,"Hab","합","하박국","Hab","Habakkuk"
35,"Zeph","습","스바냐","Zeph","Zephaniah"
36,"Hag","학","학개","Hag","Haggai"
37,"Zech","슥","스가랴","Zech","Zechariah"
38,"Mal","말","말라기","Mal","Malachi"
39,"Matt","마","마태복음","Matt","Matthew"
40,"Mark","막","마가복음","Mark","Mark"
41,"Luke","눅","누가복음","Luke","Luke"
42,"John","요","요한복음","John","John"
43,"Acts","행","사도행전","Acts","Acts"
44,"Rom","롬","로마서","Rom","Romans"
45,"1Cor","고전","고린도전서","1Cor","1 Corinthians"
46,"2Cor","고후","고린도후서","2Cor","2 Corinthians"
47,"Gal","갈","갈라디아서","Gal","Galatians"
48,"Eph","엡","에베소서","Eph","Ephesians"
49,"Phlm","빌","빌립보서","Phlm","Philippians"
50,"Col","골","골로새서","Col","Colossians"
51,"1Thes","살전","데살로니가전서","1Thes","1 Thessalonians"
52,"2Thes","살후","데살로니가후서","2Thes","2 Thessalonians"
53,"1Tim","딤전","디모데전서","1Tim","1 Timothy"
54,"2Tim","딤후","디모데후서","2Tim","2 Timothy"
55,"Titus","딛","디도서","Titus","Titus"
56,"Phle","몬","빌레몬서","Phle","Philemon"
57,"Heb","히","히브리서","Heb","Hebrews"
58,"James","약","야고보서","James","James"
59,"1Pet","벧전","베드로전서","1Pet","1 Peter"
60,"2Pet","벧후","베드로후서","2Pet","2 Peter"
61,"1John","요일","요한일서","1John","1 John"
62,"2John","요이","요한이서","2John","2 John"
63,"3John","요삼","요한삼서","3John","3 John"
64,"Jude","유","유다서","Jude","Jude"
65,"Rev","계","요한계시록","Rev","Revelation"
